timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu
2026/08/31 05:41:41.346, 0 %, 0 %, 0 MiB, 32768 MiB, 24.11 W, 35
2026/08/31 05:41:41.351, 6 %, 1 %, 5282 MiB, 32768 MiB, 63.04 W, 45
2026/08/31 05:41:46.355, 0 %, 0 %, 4 MiB, 32768 MiB, 24.10 W, 35
2026/08/31 05:41:46.367, 7 %, 1 %, 5282 MiB, 32768 MiB, 44.42 W, 45
2026/08/31 05:41:51.377, 0 %, 0 %, 4 MiB, 32768 MiB, 24.09 W, 35
2026/08/31 05:41:51.386, 3 %, 0 %, 5282 MiB, 32768 MiB, 43.24 W, 45
2026/08/31 05:41:56.392, 0 %, 0 %, 4 MiB, 32768 MiB, 24.07 W, 35
2026/08/31 05:41:56.404, 2 %, 0 %, 5282 MiB, 32768 MiB, 59.88 W, 45
2026/08/31 05:42:01.415, 0 %, 0 %, 4 MiB, 32768 MiB, 24.17 W, 35
2026/08/31 05:42:01.428, 2 %, 0 %, 5282 MiB, 32768 MiB, 49.68 W, 45
2026/08/31 05:42:06.436, 0 %, 0 %, 4 MiB, 32768 MiB, 24.08 W, 35
2026/08/31 05:42:06.439, 4 %, 0 %, 5282 MiB, 32768 MiB, 44.39 W, 45
2026/08/31 05:42:11.442, 0 %, 0 %, 4 MiB, 32768 MiB, 24.17 W, 35
2026/08/31 05:42:11.445, 85 %, 87 %, 5282 MiB, 32768 MiB, 59.79 W, 47
2026/08/31 05:42:16.448, 0 %, 0 %, 4 MiB, 32768 MiB, 24.08 W, 35
2026/08/31 05:42:16.451, 88 %, 92 %, 5282 MiB, 32768 MiB, 44.38 W, 45
2026/08/31 05:42:21.462, 0 %, 0 %, 4 MiB, 32768 MiB, 24.08 W, 35
2026/08/31 05:42:21.465, 3 %, 0 %, 5282 MiB, 32768 MiB, 44.18 W, 44
2026/08/31 05:42:26.473, 0 %, 0 %, 4 MiB, 32768 MiB, 23.99 W, 35
2026/08/31 05:42:26.476, 3 %, 0 %, 5282 MiB, 32768 MiB, 44.48 W, 44
2026/08/31 05:42:31.480, 0 %, 0 %, 4 MiB, 32768 MiB, 24.07 W, 35
2026/08/31 05:42:31.491, 10 %, 5 %, 5282 MiB, 32768 MiB, 44.46 W, 45
2026/08/31 05:42:36.500, 0 %, 0 %, 4 MiB, 32768 MiB, 24.09 W, 35
2026/08/31 05:42:36.521, 2 %, 0 %, 5282 MiB, 32768 MiB, 38.51 W, 44
2026/08/31 05:42:41.529, 0 %, 0 %, 4 MiB, 32768 MiB, 24.09 W, 35
2026/08/31 05:42:41.541, 3 %, 0 %, 5282 MiB, 32768 MiB, 43.04 W, 44
2026/08/31 05:42:46.552, 0 %, 0 %, 4 MiB, 32768 MiB, 23.99 W, 35
2026/08/31 05:42:46.562, 2 %, 0 %, 5282 MiB, 32768 MiB, 44.00 W, 44
2026/08/31 05:42:51.573, 0 %, 0 %, 4 MiB, 32768 MiB, 24.08 W, 35
2026/08/31 05:42:51.576, 1 %, 0 %, 5282 MiB, 32768 MiB, 44.01 W, 44
2026/08/31 05:42:56.584, 0 %, 0 %, 4 MiB, 32768 MiB, 24.08 W, 35
2026/08/31 05:42:56.606, 2 %, 0 %, 5282 MiB, 32768 MiB, 44.01 W, 44
2026/08/31 05:43:01.616, 0 %, 0 %, 4 MiB, 32768 MiB, 24.17 W, 35
2026/08/31 05:43:01.621, 1 %, 0 %, 5282 MiB, 32768 MiB, 44.09 W, 44
2026/08/31 05:43:06.641, 0 %, 0 %, 4 MiB, 32768 MiB, 24.08 W, 35
2026/08/31 05:43:06.644, 3 %, 0 %, 5282 MiB, 32768 MiB, 43.98 W, 44
2026/08/31 05:43:11.648, 0 %, 0 %, 4 MiB, 32768 MiB, 24.08 W, 35
2026/08/31 05:43:11.660, 3 %, 0 %, 5282 MiB, 32768 MiB, 45.06 W, 44
2026/08/31 05:43:16.678, 0 %, 0 %, 4 MiB, 32768 MiB, 24.08 W, 35
2026/08/31 05:43:16.681, 4 %, 0 %, 5282 MiB, 32768 MiB, 44.08 W, 44
2026/08/31 05:43:21.684, 0 %, 0 %, 4 MiB, 32768 MiB, 23.98 W, 35
2026/08/31 05:43:21.700, 6 %, 1 %, 5282 MiB, 32768 MiB, 43.22 W, 44
2026/08/31 05:43:26.704, 0 %, 0 %, 4 MiB, 32768 MiB, 24.08 W, 35
2026/08/31 05:43:26.707, 1 %, 0 %, 5282 MiB, 32768 MiB, 43.03 W, 43
2026/08/31 05:43:31.721, 0 %, 0 %, 4 MiB, 32768 MiB, 24.18 W, 35
2026/08/31 05:43:31.732, 4 %, 0 %, 5282 MiB, 32768 MiB, 44.00 W, 44
2026/08/31 05:43:36.752, 0 %, 0 %, 4 MiB, 32768 MiB, 23.95 W, 35
2026/08/31 05:43:36.762, 2 %, 0 %, 5282 MiB, 32768 MiB, 85.40 W, 43
2026/08/31 05:43:41.765, 0 %, 0 %, 4 MiB, 32768 MiB, 24.08 W, 35
2026/08/31 05:43:41.772, 2 %, 0 %, 5282 MiB, 32768 MiB, 43.79 W, 43
2026/08/31 05:43:46.774, 0 %, 0 %, 4 MiB, 32768 MiB, 24.07 W, 35
2026/08/31 05:43:46.782, 90 %, 94 %, 5282 MiB, 32768 MiB, 59.38 W, 45
2026/08/31 05:43:51.794, 0 %, 0 %, 4 MiB, 32768 MiB, 23.98 W, 35
2026/08/31 05:43:51.798, 3 %, 0 %, 5282 MiB, 32768 MiB, 44.00 W, 44
2026/08/31 05:43:56.801, 0 %, 0 %, 4 MiB, 32768 MiB, 23.98 W, 35
2026/08/31 05:43:56.804, 2 %, 0 %, 5282 MiB, 32768 MiB, 43.80 W, 43
2026/08/31 05:44:01.815, 0 %, 0 %, 4 MiB, 32768 MiB, 23.99 W, 35
2026/08/31 05:44:01.818, 2 %, 0 %, 5282 MiB, 32768 MiB, 43.79 W, 43
2026/08/31 05:44:06.829, 0 %, 0 %, 4 MiB, 32768 MiB, 23.98 W, 35
2026/08/31 05:44:06.833, 4 %, 0 %, 5282 MiB, 32768 MiB, 38.32 W, 43
2026/08/31 05:44:11.836, 0 %, 0 %, 4 MiB, 32768 MiB, 24.08 W, 35
2026/08/31 05:44:11.839, 2 %, 0 %, 5282 MiB, 32768 MiB, 42.74 W, 43
2026/08/31 05:44:16.846, 0 %, 0 %, 4 MiB, 32768 MiB, 24.08 W, 35
